Año,Mes,Dia,Hora,Precio kWh,
2023.00,1.00,1.00,0.00,0.12,
2023.00,1.00,1.00,1.00,0.12,
2023.00,1.00,1.00,2.00,0.11,
2023.00,1.00,1.00,3.00,0.11,
2023.00,1.00,1.00,4.00,0.11,
2023.00,1.00,1.00,5.00,0.11,
2023.00,1.00,1.00,6.00,0.12,
2023.00,1.00,1.00,7.00,0.12,
2023.00,1.00,1.00,8.00,0.14,
2023.00,1.00,1.00,9.00,0.12,
2023.00,1.00,1.00,10.00,0.15,
2023.00,1.00,1.00,11.00,0.13,
2023.00,1.00,1.00,12.00,0.13,
2023.00,1.00,1.00,13.00,0.13,
2023.00,1.00,1.00,14.00,0.07,
2023.00,1.00,1.00,15.00,0.07,
2023.00,1.00,1.00,16.00,0.08,
2023.00,1.00,1.00,17.00,0.10,
2023.00,1.00,1.00,18.00,0.15,
2023.00,1.00,1.00,19.00,0.17,
2023.00,1.00,1.00,20.00,0.20,
2023.00,1.00,1.00,21.00,0.21,
2023.00,1.00,1.00,22.00,0.16,
2023.00,1.00,1.00,23.00,0.16,
